"RSTK__SYACC_DIV__C","RSTK__SYACC_MFGACCT__C","RSTK__SYACC_DESCR__C","RSTK__SYACC_GLTYPE_PL__C","RSTK__SYACC_SYQBCOA__C","RSTK__SYACC_GLXREFACCT__C"
"a8C8Y000000CurhUAC","5000","Product COGS","Cost of Sales","","aAO8Y000000OIiwWAG"
"a8C8Y000000CurhUAC","5125","Negative Variance Acct","Inventory Negative Variance","","aAO8Y000000OIj1WAG"
"a8C8Y000000CurhUAC","4200","Service Revenue","Revenue","","aAO8Y000000OIiqWAG"
"a8C8Y000000CurhUAC","1416","WO Disassembly WIP","WIP","","aAO8Y000000OId9WAG"
"a8C8Y000000CurhUAC","1417","WIP Rework WO","WIP","","aAO8Y000000OIdAWAW"
"a8C8Y000000CurbUAC","5175","Inventory Adjustment","Inventory Adjustment","",""
"a8C8Y000000CurbUAC","1315","Non-nettable Inventory","Non Nettable","",""
"a8C8Y000000CurbUAC","5100-2","Work Order Scrap","General Scrap","",""
"a8C8Y000000CurbUAC","5115","PO-Invoice Price Variance","Variance","",""
"a8C8Y000000CurbUAC","1330","Subcontract PO  WIP","POSUBWIP","",""
"a8C8Y000000CurbUAC","1325","Work Order WIP","WIP","",""
"a8C8Y000000CurbUAC","5130","Work Order/Subcontract Variance","WO/Subc PO Variance","",""
"a8C8Y000000CurbUAC","2300-1","Customer Deposits - Invoice","Unearned Revenue","",""
"a8C8Y000000CurbUAC","5000","Product COGS","Cost of Sales","",""
"a8C8Y000000CurbUAC","1335","Shipping Clearing","Cost of Sales Clearing","",""
"a8C8Y000000CurbUAC","4900","Sales Discount","Revenue","",""
"a8C8Y000000CurbUAC","4010-1","Freight Income","Revenue","",""
"a8C8Y000000CurbUAC","4010-2","Handling Income","Revenue","",""
"a8C8Y000000CurbUAC","2200","Sales Tax Payable","Liability Accounts","",""
"a8C8Y000000CurbUAC","4010-3","Packaging Income","Revenue","",""
"a8C8Y000000CurbUAC","4000","Product Revenue","Revenue","",""
"a8C8Y000000CurbUAC","1300","Inventory, Raw Material","Inventory","",""
"a8C8Y000000CurbUAC","1320","Div to Div Clearing","Division Transfer","",""
"a8C8Y000000CurbUAC","5150","Labor Clearing","WIP Clearing (Labor, Mach, Fringe)","",""
"a8C8Y000000CurbUAC","5155","Labor OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","",""
"a8C8Y000000CurbUAC","5160","Machine OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","",""
"a8C8Y000000CurbUAC","5170","Fringe OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","",""
"a8C8Y000000CurbUAC","2005","Accrued Accounts Payable","Accrued AP","",""
"a8C8Y000000CurbUAC","4005","Service Revenue","Revenue","",""
"a8C8Y000000CurbUAC","5100-1","Inventory, Scrap","General Scrap","",""
"a8C8Y000000CurbUAC","5105","Material Overhead Variance","Variance","",""
"a8C8Y000000CurbUAC","5120","Invoice - Receipt Quantity Variance","Variance","",""
"a8C8Y000000CurbUAC","5200","Consumables","Expense","",""
"a8C8Y000000CurbUAC","2300-2","Customer Deposits - Credit Card","Unearned Revenue","",""
"a8C8Y000000CurhUAC","5150","Work Order/Subcontract Variance","WO/Subc PO Variance","","aAO8Y000000OIj6WAG"
"a8C8Y000000CurhUAC","1420","Subcontract PO WIP","POSUBWIP","","aAO8Y000000OIi5WAG"
"a8C8Y000000CurhUAC","5151","Rework Work Order Variance","Variance","","aAO8Y000000OId8WAG"
"a8C8Y000000CurbUAC","5165","Mat OHD Clearing","OTH Clearing","","aAO8Y000000OIeOWAW"
"a8C8Y000000CurbUAC","1200","Accounts Receivable","Other","","aAO8Y000000OIdDWAW"
"a8C8Y000000CurbUAC","1305","Inventory - Finished Goods","Inventory","",""
"a8C8Y000000CurbUAC","5715","Labor Ohd Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIePWAW"
"a8C8Y000000CurbUAC","5900","RMA","Cost of Sales","","aAO8Y000000OIe7WAG"
"a8C8Y000000CurbUAC","5140","Stds Variance","Standards Change Variance","","aAO8Y000000OIeJWAW"
"a8C8Y000000CurbUAC","5190","General Mfg Expense","Expense","","aAO8Y000000OIeQWAW"
"a8C8Y000000CurbUAC","5110","PPV","PPV","","aAO8Y000000OIeEWAW"
"a8C8Y000000CurbUAC","5145","Div to Div Variance","Division to Division Variance","","aAO8Y000000OIeLWAW"
"a8C8Y000000CurbUAC","5125","Neg Inv Variance","Inventory Negative Variance","","aAO8Y000000OIeGWAW"
"a8C8Y000000CurdUAC","2260","VAT Tax - VAT Recovery","Liability Accounts","","aAO8Y000000OIczWAG"
"a8C8Y000000CurdUAC","4392","Prepaid Invoice Sales Acct","Unearned Revenue","","aAO8Y000000OId1WAG"
"a8C8Y000000CurdUAC","4550","Defered COGS","Deferred Costs","","aAO8Y000000OIcIWAW"
"a8C8Y000000CurdUAC","SR-9001-Output VAT","SR-Output VAT SL Account","Liability Accounts","","aAO8Y000000OIcLWAW"
"a8C8Y000000CurdUAC","SR-9002-Input VAT","SR-Input VAT SL Account","Liability Accounts","","aAO8Y000000OIcMWAW"
"a8C8Y000000CurdUAC","SR-9003-VAT Clearing SL","SR-VAT Clearing SL Account","Liability Accounts","","aAO8Y000000OIcNWAW"
"a8C8Y000000CurdUAC","SR-9004-SL","SR-Federal Tax (Sales) Payable","Liability Accounts","","aAO8Y000000OIcOWAW"
"a8C8Y000000CurdUAC","1200","Accounts Receivable","Other","","aAO8Y000000OIbnWAG"
"a8C8Y000000CurdUAC","1400","Inventory, Raw Material","Inventory","","aAO8Y000000OIbqWAG"
"a8C8Y000000CurdUAC","1405","Non-nettable Inventory","Non Nettable","","aAO8Y000000OIbrWAG"
"a8C8Y000000CurdUAC","7102","Div to Div Clearing","Division Transfer","","aAO8Y000000OIcbWAG"
"a8C8Y000000CurdUAC","5165","Material OHD Clearing","OTH Clearing","","aAO8Y000000OIfnWAG"
"a8C8Y000000CurdUAC","1415","Work Order WIP","WIP","","aAO8Y000000OIf8WAG"
"a8C8Y000000CurdUAC","1420","Subcontract PO  WIP","POSUBWIP","","aAO8Y000000OIf9WAG"
"a8C8Y000000CurdUAC","5170","Labor Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIfoWAG"
"a8C8Y000000CurdUAC","5175","Labor OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIf2WAG"
"a8C8Y000000CurdUAC","5180","Machine OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIfpWAG"
"a8C8Y000000CurdUAC","5185","Fringe OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIfqWAG"
"a8C8Y000000CurdUAC","7350","Shipping Clearing","Cost of Sales Clearing","","aAO8Y000000OIcHWAW"
